Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,# of Accelerators,# of Nodes,Accelerator,Availability,Host Processor Core Count,Processor,Avg. Result at System Name
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,gptj-99.9,Server,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,17953.9
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,27765.3
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,llama2-70b-99,Server,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,27417.3
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,27765.3
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,llama2-70b-99.9,Server,Tokens/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,27417.3
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,3d-unet-99,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,49.5439
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,3d-unet-99.9,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,49.5439
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,resnet,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,680738
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,resnet,Server,Queries/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,540125
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,retinanet,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,11263.8
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,retinanet,Server,Queries/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,11988.9
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,stable-diffusion-xl,Offline,Samples/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,16.0315
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,NVIDIA H200-NVL-141GB,8,Inference,stable-diffusion-xl,Server,Queries/s,,8,1,NVIDIA H200-NVL-141GB,available,48,AMD EPYC 9475F 48-Core Processo,14.8098
5.0-0005,ASUSTeK,available,ASUSTeK ESC A8A-E12U (8x MI325x-256GB ),1,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,48,2x AMD EPYC 9475F,33366.5
5.0-0005,ASUSTeK,available,ASUSTeK ESC A8A-E12U (8x MI325x-256GB ),1,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99,Server,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,48,2x AMD EPYC 9475F,30086.52
5.0-0005,ASUSTeK,available,ASUSTeK ESC A8A-E12U (8x MI325x-256GB ),1,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,48,2x AMD EPYC 9475F,33366.5
5.0-0005,ASUSTeK,available,ASUSTeK ESC A8A-E12U (8x MI325x-256GB ),1,2x AMD EPYC 9475F,AMD Instinct MI325X 256GB HBM3E,8,Inference,llama2-70b-99.9,Server,Tokens/s,,8,1,AMD Instinct MI325X 256GB HBM3E,available,48,2x AMD EPYC 9475F,30086.52
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,21171.3
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Server,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,21533.9
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,gptj-99.9,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,21171.3
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,gptj-99.9,Server,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,21533.9
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,34807.1
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99,Server,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,33037.22
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,34807.1
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-99.9,Server,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,33037.22
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-interactive-99,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,34809.3
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-interactive-99,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,19418.5
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-interactive-99.9,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,34809.3
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama2-70b-interactive-99.9,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,19418.5
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama3.1-405b,Offline,Samples/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,557.097
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,NVIDIA H200-SXM-141GB,8,Inference,llama3.1-405b,Server,Queries/s,,8,1,NVIDIA H200-SXM-141GB,available,48,INTEL(R) XEON(R) PLATINUM 8558,291.183
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,3d-unet-99,Offline,Samples/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,51.3784
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,3d-unet-99.9,Offline,Samples/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,51.3784
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,gptj-99,Offline,Tokens/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,19936.5
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,gptj-99,Server,Tokens/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,19318.9
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,gptj-99.9,Offline,Tokens/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,19936.5
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,gptj-99.9,Server,Tokens/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,19318.9
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,retinanet,Offline,Samples/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,14313.3
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,Virtualized NVIDIA H100-SXM-80GB,8,Inference,retinanet,Server,Queries/s,,8,1,Virtualized NVIDIA H100-SXM-80GB,available,48,Intel(R) Xeon(R) Platinum 8568Y+,12869.8
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,3d-unet-99.9,Offline,Samples/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,2.26228
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,gptj-99.9,Offline,Tokens/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,315.389
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,gptj-99.9,Server,Tokens/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,168.688
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,resnet,Offline,Samples/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,31559.2
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,resnet,Server,Queries/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,27988
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,retinanet,Offline,Samples/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,476.586
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,N/A,0,Inference,retinanet,Server,Queries/s,,0,1,N/A,available,86,INTEL(R) XEON(R) 6787P,350.917
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,3d-unet-99,Offline,Samples/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,10.825
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,dlrm-v2-99,Offline,Samples/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,103047
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,dlrm-v2-99,Server,Queries/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,96987.8
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,gptj-99,Offline,Tokens/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,3789.42
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,gptj-99,Server,Tokens/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,3305.27
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,llama2-70b-99,Offline,Tokens/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,3741.32
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,llama2-70b-99,Server,Tokens/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,3337.55
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,resnet,Offline,Samples/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,124595
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,resnet,Server,Queries/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,109989
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,retinanet,Offline,Samples/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,2677.13
5.0-0009,Cisco,available,Cisco UCS C245 M8 (2x H100NVL-PCIe-94GB),1,AMD EPYC 9224,NVIDIA H100-NVL-94GB,2,Inference,retinanet,Server,Queries/s,,2,1,NVIDIA H100-NVL-94GB,available,24,AMD EPYC 9224,2400.54
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,gptj-99,Offline,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,20307.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,gptj-99,Server,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,20706.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,gptj-99.9,Offline,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,20307.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,gptj-99.9,Server,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,20706.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,llama2-70b-99,Offline,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,30899.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,llama2-70b-99,Server,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,26599.38
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,llama2-70b-99.9,Offline,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,30899.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,llama2-70b-99.9,Server,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,26599.38
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,mixtral-8x7b,Offline,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,52724.4
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,mixtral-8x7b,Server,Tokens/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,53299.3
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,resnet,Offline,Samples/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,715761
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,resnet,Server,Queries/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,652002
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,retinanet,Offline,Samples/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,14476.3
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,retinanet,Server,Queries/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,13908.7
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,stable-diffusion-xl,Offline,Samples/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,18.375
5.0-0010,Cisco,available,Cisco UCS C885A M8 (8x H100-SXM-80GB TensorRT),1,AMD EPYC 9554 64-Core Processor,NVIDIA H100-SXM-80GB,8,Inference,stable-diffusion-xl,Server,Queries/s,,8,1,NVIDIA H100-SXM-80GB,available,64,AMD EPYC 9554 64-Core Processor,17.7917
5.0-0011,Cisco,available,Cisco UCS C885A M8 (8x H200-SXM-141GB TensorRT),1,AMD EPYC 9575F,NVIDIA H200-SXM-141GB,8,Inference,gptj-99,Offline,Tokens/s,,8,1,NVIDIA H200-SXM-141GB,available,128,AMD EPYC 9575F,21557.8
